"api_key_label","Clave API"
"shared_secret_label","Clave secreta"
"checkout_title_label","Título de pago"
"checkout_description_label","Descripción del pago"
"cart_threshold_label","Umbral del carro"
"show_widget_label","Mostrar widget"
"widget_minimum_description","Solo muestre el widget si el precio del producto supera la cantidad especificada"
"show_widget_description","Muestre un útil widget con las opciones de financiación en su página de productos"
"api_key_description","La clave API debe ser proporcionada por su proveedor de finanzas"
"shared_secret_description","El secreto compartido opcional es un código acordado que se utiliza para verificar la información entre usted y su proveedor de finanzas."
"debug_label","Depurar"
"limit_plans_label","Planes de límite"
"limit_plans_description","Elija los planes que desea poner a disposición de sus clientes."
"cart_threshold_description","El monto mínimo necesario para que el carrito totalice para que las finanzas sean una opción al momento de pagar"
"debug_description","Depuración habilitada: desactívela en producción"
"plugin_active_label","Activo"
"checkout_title_description","El nombre de la opción de pago al finalizar la compra"
"checkout_description_description","La descripción de la opción de pago al finalizar la compra"
"product_selection_label","Selección de producto"
"refine_plans_label","Lista de planes de refinamiento"
"show_all_plans_option","Mostrar todos los planes"
"select_specific_plans_option","Seleccionar planes específicos"
"finance_all_products_option","Todos los productos"
"finance_specific_products_option","Financiar productos específicos"
"finance_threshold_products_option","Todos los productos por encima de un precio definido."
"sort_order_label","Orden de clasificación"
"product_selection_description","Personaliza qué productos se pueden financiar"
"plugin_active_description","Habilitar o deshabilitar la opción de financiación al finalizar la compra"
"widget_footnote_label","Nota"
"widget_button_text_label","Botón de texto"
"widget_button_text_description","Texto que aparece en el botón del widget"
"widget_footnote_description","Letra pequeña que aparece al final del widget"
"lightbox_option","Caja ligera"
"calculator_option","Calculadora"
"widget_mode_label","Moda"
"widget_mode_description","Si el widget aparece como inmediatamente (calculadora) o cuando se hace clic en un botón (lightbox)"
"product_price_threshold_label","Umbral de precio del producto"
"product_price_threshold_description","La cantidad mínima que debe costar un producto para ser viable para la financiación"
"plugin_title","Pagar por finanzas"
"yes","si"
"no","No"
"plugin_description","Esta extensión le permite aceptar pagos financieros en su tienda"
"cart_maximum_label","Carrito Máximo"
"cart_maximum_description","La cantidad máxima que un carrito puede totalizar para que las finanzas sean una opción al momento de pagar"
"limit_countries_label","Disponibilidad por pais"
"limit_countries_description","Limite la disponibilidad de esta opción de pago a países específicos"
"availability_all_countries_option","Todos los países"
"availability_specific_countries_option","Países específicos"
"refine_countries_label","Refinar países disponibles"
"empty_countries_error_msg","Por favor, elija al menos un país"
"order_status_signed_label","¿Cambiar el estado del pedido cuando se firma?"
"automatic_fulfilment_label","¿Habilitar el cumplimiento automático?"
"automatic_fulfilment_description","Notifique automáticamente al prestamista que el pedido está completo cada vez que lo cambia a un estado específico"
"automatic_fulfilment_status_label","Estado de cumplimiento"
"delay_order_creation_label","Retraso en la creación de pedidos"
"set_invoice_status_label","Establecer estado facturado"
"choose_invoice_status_label","Elegir estado facturado"
"delay_order_creation_description","Para las tiendas que se ejecutan en servidores más lentos, aumente este retraso para permitir que se cree el pedido"
"headless_support_label","Soporte sin cabeza - Experimental"
"headless_support_description","Opciones de tienda sin cabeza"
"custom_checkout_url_label","URL de pago personalizado"
"custom_redirect_url_label","URL de redireccionamiento personalizado"
"custom_redirect_url_description","URL de redireccionamiento de tienda sin cabeza"
"custom_checkout_url_description","URL de pago de tienda sin cabeza"
"continue_label","Hacer continuación"
"use_store_language_label","¿Usar el idioma de la tienda?"
"use_store_language_description","Anule el idioma de la calculadora financiera con el idioma de la tienda"
"signed_option","Firmado"
"accepted_option","Aceptado"
