"api_key_label","clé API"
"shared_secret_label","Secret partagé"
"checkout_title_label","Titre de la caisse"
"checkout_description_label","Description de la caisse"
"cart_threshold_label","Seuil du panier"
"show_widget_label","Afficher le widget"
"widget_minimum_description","Afficher le widget uniquement si le prix du produit est supérieur au montant spécifié"
"show_widget_description","Afficher un widget pratique avec les options de financement sur la page de vos produits"
"api_key_description","La clé API doit être fournie par votre fournisseur de financement"
"shared_secret_description","Le secret partagé facultatif est un code convenu utilisé pour vérifier les informations entre vous et votre fournisseur de financement."
"debug_label","Déboguer"
"limit_plans_label","Plans de limite"
"limit_plans_description","Choisissez les plans que vous souhaitez mettre à la disposition de vos clients"
"cart_threshold_description","Le montant minimum nécessaire pour que le panier soit total afin que le financement soit une option à la caisse"
"debug_description","Débogage Activé -  Désactivez cette option en production"
"plugin_active_label","actif"
"checkout_title_description","Le nom de l'option de paiement à la caisse"
"checkout_description_description","La description de l'option de paiement à la caisse"
"product_selection_label","Selection de produit"
"refine_plans_label","Affiner la liste des plans"
"show_all_plans_option","Afficher tous les plans"
"select_specific_plans_option","Sélectionner des plans spécifiques"
"finance_all_products_option","Tous les produits"
"finance_specific_products_option","Financer des produits spécifiques"
"finance_threshold_products_option","Tous les produits au dessus d'un prix défini"
"sort_order_label","Ordre de tri"
"product_selection_description","Personnaliser les produits pouvant être financés"
"plugin_active_description","Activer ou désactiver l'option de finance à la caisse"
"widget_footnote_label","note de bas de page"
"widget_button_text_label","Texte du bouton"
"widget_button_text_description","Texte qui apparaît sur le bouton du widget"
"widget_footnote_description","Petits caractères qui apparaissent à la fin du widget"
"lightbox_option","Boite à lumière"
"calculator_option","Calculatrice"
"widget_mode_label","Mode"
"widget_mode_description","Si le widget apparaît immédiatement (calculatrice) ou lorsqu'un bouton est cliqué (lightbox)"
"product_price_threshold_label","Seuil de prix du produit"
"product_price_threshold_description","Le montant minimum qu'un produit doit coûter pour être viable pour le financement"
"plugin_title","Payer par les finances"
"yes","Oui"
"no","Non"
"plugin_description","Cette extension vous permet d'accepter des paiements de financement dans votre magasin."
"cart_maximum_label","Panier maximum"
"cart_maximum_description","Le montant maximum qu'un panier peut totaliser pour que le financement soit une option à la caisse"
"limit_countries_label","Disponibilité par pays"
"limit_countries_description","Limiter la disponibilité de cette option de paiement à des pays spécifiques"
"availability_all_countries_option","Tous les pays"
"availability_specific_countries_option","Pays spécifiques"
"refine_countries_label","Affiner les pays disponibles"
"empty_countries_error_msg","Veuillez choisir au moins un pays"
"order_status_signed_label","Changer le statut de la commande une fois signé?"
"automatic_fulfilment_label","Activer la réalisation automatique?"
"automatic_fulfilment_description","Informer automatiquement le prêteur que la commande est complète chaque fois que vous la modifiez à un statut spécifié"
"automatic_fulfilment_status_label","État de réalisation"
"delay_order_creation_label","Retarder la création de commande"
"set_invoice_status_label","Définir le statut facturé"
"choose_invoice_status_label","Choisir le statut facturé"
"delay_order_creation_description","Pour les magasins fonctionnant sur des serveurs plus lents, augmentez ce délai pour permettre la création de la commande"
"headless_support_label","Support sans tête - Expérimental"
"headless_support_description","Options de magasin sans tête"
"custom_checkout_url_label","URL de paiement personnalisée"
"custom_redirect_url_label","URL de redirection personnalisée"
"custom_redirect_url_description","URL du magasin sans tête"
"custom_checkout_url_description","URL de sortie de magasin sans tête"
"continue_label","Continuez"
"automatic_refund_label","Activer les remboursements automatiques?"
"automatic_refund_description","Avis automatique au prêteur que la commande est remboursée chaque fois que le statut d'une commande est défini sur remboursé"
"automatic_cancellation_label","Activer l'annulation automatique?"
"automatic_cancellation_description","Informer automatiquement le prêteur que la commande est annulée chaque fois que le statut d'une commande est défini sur Annulé"
"use_store_language_label","Utiliser la langue du magasin?"
"use_store_language_description","Remplacer la langue de la calculatrice financière par la langue des paramètres régionaux du magasin"
"signed_option","Signé"
"accepted_option","Accepté"
"calc_conf_api_url_label","URL de l'API de configuration de la calculatrice"
"calc_conf_api_url_description","Entrez cette URL si elle vous a été fournie"
"refund_refundable_warning_msg","Le montant de facto remboursable pour cette demande est %s. Toute tentative de remboursement dépassant ce montant sera traitée comme un remboursement complet pour %s"
"refund_partial_refundable_warning_msg","Si vous effectuez un remboursement partiel, le maximum pouvant être remboursé (avant d'atteindre la limite de crédit minimale de ce plan de financement) est %s"
"refund_partial_unavailable_warning_msg","Nous ne sommes pas en mesure de demander des remboursements partiels à votre prêteur"
"refund_reason_warning_msg","Vous devez spécifier l'une des raisons suivantes pour que le remboursement soit traité avec succès"
"refund_reason_title","Motif du remboursement"
"refund_api_key_error_msg","Il semble que vous utilisiez une clé API différente de celle utilisée pour créer cette application. Veuillez revenir à cette clé API si vous souhaitez demander automatiquement le remboursement de ce montant"
"refund_partial_limit_error_msg","Le montant du remboursement dépasse la limite de remboursement partiel"
"refund_disable_auto_suggestion_msg","Veuillez désactiver les remboursements automatiques dans le plugin Powered By Divido si vous souhaitez créer des remboursements en dehors de la portée ci-dessus"
"refund_partial_disable_auto_suggestion_msg","Veuillez désactiver les remboursements automatiques dans le plugin Powered By Divido si vous souhaitez créer des remboursements partiels, quel que soit"
"refund_reason_missing_error_msg","Vous devez spécifier un motif de remboursement"
"cancel_api_key_error_msg","Il semble que l'annulation ait été créée avec une clé API différente de celle actuellement utilisée. Veuillez revenir à cette clé API si vous souhaitez informer le prêteur"
"cancel_reason_missing_error_msg","Vous devez spécifier un motif d'annulation"
"cancel_notify_btn_txt","Annuler la commande et informer le prêteur"
"cancel_dont_notify_btn_txt","Annuler la commande sans en informer le prêteur"
"back_btn_txt","Retourner"
